name,liq_temp,liq_energy,density,gas_temp,gas_energy,heat_of_vap
mol01,298.3612553712583,0.040751107427353855,0.7641630573201141,295.0021551023122,10.481487035181509,9.072849874245218
mol02,298.05369770976284,-20.864314796905564,0.7865122673397392,299.7791503592342,-14.62107679481488,7.814768153152281
mol03,298.19104852900085,9.225386049668467,0.6986596385166267,296.26077168389895,14.095013992052461,8.524966659374066
mol04,298.1325153520568,15.548686609507834,0.690542819228735,299.5583116548723,20.131593332919746,6.1197826924886956
mol05,298.09583533271854,-13.385902130504702,0.7018543818208546,297.39961938072196,-8.450991745660682,6.553960453556137
mol06,298.1892153388696,0.38879249720646647,0.8628507467970482,298.24266060824925,7.490031825709753,7.6912590578484075
mol07,298.197939509618,-4.4463200409023775,0.8670764633976444,297.866294692833,3.6244378758889995,8.678653836927856
mol08,298.24576009468143,18.070138158291883,0.9652618984804225,297.61748584552925,27.031497741976384,9.572164095737811
mol09,298.2118517005104,3.512699152148053,0.9912109380124638,297.8593423602383,8.66346201984422,5.750202668178722
mol10,298.25640251424755,-24.10401184036305,1.0356590637521972,298.93150143211494,-14.958851973367693,10.713117296097547
mol11,298.1290075536127,-3.3874258589486823,0.8296550216683598,298.7823038291618,10.87478778626677,12.829004377538743
mol12,298.13238738557806,2.1567379285591994,0.6110090844825584,297.39254788069366,6.438279732634415,5.90668886979334
mol13,298.07247276676225,12.194074523537852,0.5629976070394751,296.83696512565535,15.024554825649663,5.440971429928453
mol14,298.1700120031924,-56.60766199752623,0.8507371429716203,298.97363705417473,-49.877817230516364,7.30278333274868
mol15,298.16160299543077,-58.29546484147714,0.7812742760502297,299.3696689861397,-44.74913908920142,12.102429062858759
